query,ground_truth_size,Hit@5,Hit@10,Hit@20,AP
我想了解性別在工作環境中的重要性，有沒有課程探討這方面的知識？,5,1,1,1,0.8666666666666666
我想了解性別教育和管理的課程，能不能給我一些有關性別議題的學習計畫？,5,1,1,1,0.925
這個微學程對性別議題的探討非常豐富，能夠提供一些有關性別教育、性別與管理、性別與社會的實踐課程嗎？,5,1,1,1,0.925
我想了解如何在工作中推動性別平等，該微學程中有什麼樣的課程或實踐活動能夠幫助我？,5,1,1,1,0.82
我對性別議題很感興趣，有沒有提供課程或活動讓我了解性別在企業或社會中的影響和應用？,5,1,1,1,0.837037037037037
聽說這個微學程關注永續發展教育，想了解更多實際的實作經驗，哪些課程可以幫助我學習？,11,1,1,1,0.41214821837240084
我對永續發展議題很感興趣，是否有課程能夠讓我了解如何將設計思考與創意設計方法應用於實際的環境保護問題？,11,1,1,1,0.6167675312549261
我對永續發展議題很感興趣， STREAM微學程的課程安排是什麼樣的？,11,0,0,0,0.0060448438776507015
我想了解如何在實際生活中運用設計思考，是否有任何相關的實作課程或工作坊？,11,1,1,1,0.134322427325392
我想了解如何將設計思考應用在實際的永續發展問題上，哪些課程或實作有助於學習這個領域？,11,1,1,1,0.24646385178271538
我對永續發展議題很感興趣，想了解這些課程是如何結合實踐和研究的？,11,1,1,1,0.20386546446106085
這個學程裡有很多跟環境保護和設計思考相關的課程，我想知道哪些課程會更深入地探討永續發展的實際應用？,11,1,1,1,0.1578085063053636
我想了解如何結合設計思考和創意設計方法來推動永續發展，有什麼課程或實踐活動可以參與嗎？,11,1,1,1,0.20764706086958604
這個跨域應用整合學程好像有很多有趣的課程，請問有哪些課程可以幫助我提高中文寫作和表達能力？,34,1,1,1,0.8280140019284777
我想學習中文創意跨域應用整合，想知道有哪些課程可以幫助我提高中文思辨和表達能力？,34,1,1,1,0.3774048529140003
我想學習中文創意跨域應用整合的課程，有哪些選擇能夠幫助我提高中文思辨和表達能力？,34,1,1,1,0.7427410346229998
我想學習中文創意跨域應用整合學程，但有很多課程名稱都很長，我想知道哪些課程比較適合初學者？,34,0,0,0,0.0
我想在學程中學習如何結合中文和創意，請問有哪些課程能夠幫助我培養創意思維和跨域應用能力？,34,1,1,1,0.9966853408029879
我想學習中文創意跨域應用整合的課程，有哪些可以培養我批判性思維和表達能力的選擇？,34,0,0,0,0.043930870811536696
我對中文創意跨域應用很感興趣，想了解這個學程的核心內容和課程安排，請問哪些課程比較重要或有助於學習？,34,1,1,1,0.7668338213521043
我想學習如何用中文表達自己的想法，有哪些課程可以幫助我提高中文思辨能力和表達技巧？,34,1,1,1,0.6793930772499363
對海洋休閒運動產業很感興趣，想知道哪些課程能夠讓我學會初級潛水或帆船技術？,19,1,1,1,0.956892230576441
我想學習海洋休閒運動相關的課程，但不太確定哪些是初學者的好選擇，能給我一些建議嗎？,19,0,0,0,0.0
我想學習潛水或衝浪相關的課程，哪些初級課程比較適合？,19,1,1,1,0.7585519773297402
我對海洋休閒活動很有興趣，想知道有哪些課程可以學習初級潛水或衝浪？,19,1,1,1,0.6318557816892932
我想知道這個學程裡面有哪些課程跟水上運動或休閒活動有關？,19,1,1,1,0.896366439210803
想了解更多海洋休閒運動的基礎知識，有哪些相關課程可以學習？,19,1,1,1,0.922479275110854
我想學習潛水和帆船的基本技巧，哪些課程可以幫助我提升運動和健康能力？,19,1,1,1,0.9488881778915372
我想學習如何在海洋中進行休閒活動，例如潛水或衝浪，但不是完全初學者，有哪些課程適合我？,19,1,1,1,0.7997100531515804
這個微學程好像很有趣，我想學習更多關於莎劇和文化的內容，有哪些課程能夠讓我更深入地了解這個領域？,9,0,1,1,0.018123403024166013
我對莎士比亞的作品很感興趣，有沒有提供與莎劇相關的課程或活動？,9,0,1,1,0.01844918867943235
我對莎劇和文化有興趣，但想知道有哪些課程可以學習莎劇與現代社會的關聯？,9,0,1,1,0.020139660847543456
我想了解國際素養課程的選修課，哪些比較有趣又實用？,9,0,0,0,0.002988173239154831
我對莎士比亞的作品很有興趣，還有關於文化詮釋的課程比較有趣？,9,0,0,1,0.011123484901496193
這個微學程有哪些選項比較有趣？有關於莎劇和文化的課程聽起來很吸引人。,9,0,0,0,0.00359868738559953
有關地球環境議題的課程很吸引我，能否介紹一下與氣候變遷或永續發展相關的課程？,9,1,1,1,0.14296776777183975
我對莎士比亞的作品很有興趣，還有其他相關課程嗎？,9,1,1,1,0.03947069640685489
想深入了解台日文化比較，我該選擇哪些課程？,23,1,1,1,0.42221270854445786
我想了解日本研究學程的課程選擇，目前有哪些比較有趣的選項？,23,1,1,1,0.8790224761241836
我對台灣和日本文化有很大的興趣，想知道這個學程有哪些課程可以讓我深入了解兩個國家的文化差異？,23,1,1,1,0.4217359765495269
我對台日文化比較研究很感興趣，有沒有可以提供更多資源或實際案例的課程？,23,1,1,1,0.37430153059252785
我想學習日本研究的相關課程，有沒有提供比較台灣與日本文化的課程？,23,1,1,1,0.8388710049450773
我對日本研究很有興趣，但想問一下，這些課程中有哪些是跟台灣文化比較研究相關的？,23,1,1,1,0.23486481981999893
我想了解台灣和日本的文化差異，哪些課程可以幫助我了解這兩個國家的社會和文化？,23,1,1,1,0.25104117640944346
我想了解更多關於日本和台灣文化的比較研究，有哪些課程可以幫助我深入了解這個領域？,23,1,1,1,0.32632421085716723
我對地方創生與區域治理有興趣，是否有課程探討台日文化比較或在地食物永續發展的議題？,13,1,1,1,0.5427924257067145
有關地方創生議題的研究，我想知道這個學程中，會探討哪些在地文化的實際案例？,13,1,1,1,0.30282413972800304
我想深入了解台日文化的比較研究，是否有相關的課程可以讓我學習？,13,0,0,0,0.013077293713618625
有關地方創生議題的探討，我想知道這個微學程是否會涵蓋與文化創意產業或在地餐飲相關的課程？,13,0,0,1,0.10166803039042197
我對台日文化比較有興趣，能不能推薦一些有關比較台日社會或文化的課程或研究方向？,13,0,0,0,0.01919002845935134
我對於台灣和日本的文化比較很有興趣，該學程有提供相關課程嗎？,13,1,1,1,0.2479665133897075
這個微學程似乎與在地文化和社會議題有關，我想知道這個學程的目標是什麼？是否能夠讓我了解更多關於台灣和日本的文化比較，以及在地發展的實踐？,13,0,0,0,0.03819317610690954
我對台日文化比較很有興趣，還有哪些課程可以學習台日文化的比較研究？,13,1,1,1,0.2479665133897075
我想了解如何用創作的方式去看待社會與文化，有哪些課程可以幫助我發展自己的故事創意？,17,1,1,1,0.04427124722458896
我想學習台灣的社會與文化，也有興趣了解地方文化的採集與應用，有哪些課程能夠讓我深入了解這些主題？,17,0,0,1,0.09004962264086525
這學程聽起來很有意思，我想深入了解地方文化和創意產業，有哪些課程可以幫助我學習如何將文化故事與數位技術結合起來？,17,0,0,0,0.05336769449587561
我對地方文化很感興趣，想知道學程的實踐課程是什麼樣子？有機會實際參與地方故事的挖掘和呈現嗎？,17,1,1,1,0.2777809799852717
我對地方文化很有興趣，想知道哪些課程能教會我如何收集和應用在地文化資源？,17,0,1,1,0.12855671342577613
我對於地方文化和創意產業很有興趣，有哪些課程可以教會我如何利用在地故事和文化創造新的內容和產品？,17,1,1,1,0.20982521461883313
我想了解台灣的社會文化和傳統，能不能給我一些建議或是推薦一些有關地方故事和文化的課程或實作項目？,17,0,0,1,0.15483003354118752
我對高雄的海洋文化很有興趣，能不能找一些課程或活動，能夠讓我深入了解高雄的海洋故事和文化？,17,0,1,1,0.027934810228978896
社區文創課程很吸引我，請問有哪些課程能教會我如何創造獨特的社區文化產品？,17,1,1,1,0.357218986073415
這個學程好像結合了社區發展、文化創意和設計思考，我想了解更多關於社區文創的實際應用，有什麼樣的案例或專案可以參與嗎？,17,1,1,1,0.27845458428524017
我對台灣文化很有興趣，想知道有哪些課程可以了解台灣的社會、文化和海洋文化？,17,1,1,1,0.12064145291523862
我想了解社區文創的發展有哪些新趨勢？有沒有相關課程可以學習設計思考和社區創新？,17,1,1,1,0.4828057431023283
社區文創微學程很有趣，我想知道有沒有課程會教我如何設計一個創意的社區活動？,17,1,1,1,0.5544030267380473
我想在社區文創微學程中學習更多關於地方文化和創意設計，有哪些課程可以讓我了解台灣的海洋文化和觀光業？,17,0,0,0,0.0
社區文創微學程似乎很有趣，我想了解社區文創設計的課程有哪些內容？,17,1,1,1,0.3524091782055141
我對台灣文化很感興趣，想知道有沒有課程可以學習台灣的歷史、海洋文化或地方創生？,17,1,1,1,0.06735069894426088
台日文化相差不遠，我想了解兩地的文化差異和相似之處，有哪些課程可以讓我深入了解？,5,1,1,1,0.37377622377622377
我對於台日兩國的文化比較很有興趣，有沒有可以讓我了解不同地域文化特色的課程？,5,0,0,0,0.0068031852488153145
台日文化有很多不同之處，想知道台日文化比較研究的課程會-cover 哪些主題？,5,1,1,1,0.4012513255567338
這個跨文化微學程很吸引我，我想了解更多台日文化的差異和相似之處，有沒有課程可以讓我深入探討？,5,1,1,1,0.41336898395721916
想比較台日兩地的文化差異，是否有相關課程可以學習？,5,0,0,0,0.005660913065420732
我對台灣與日本文化有興趣，能否介紹一些比較兩國文化的課程或研究方向？,5,1,1,1,0.570462962962963
我想了解台日兩國的文化差異，有沒有課程可以學習比較台日兩地的社會習俗和宗教信仰？,5,1,1,1,0.4421172242481898
我對兩岸文化比較很感興趣，有沒有可以讓我從基礎學起的課程或者實踐計畫？,5,0,0,1,0.08264301500276255
我想知道這個微學程的課程內容有哪些與地方文化相關的課程？,10,1,1,1,0.08524341605673413
我對台灣文化很有興趣，有沒有課程可以學習如何使用數位工具創作故事或設計文化活動？,10,1,1,1,0.23059913208398938
有關台灣的文化和社會，我想知道有哪些課程可以幫助我更深入地了解這些議題？,10,1,1,1,0.12209854604052657
我想深入了解台灣的文化歷史和社會背景，有沒有提供關於台灣文化和地方故事的課程或實作機會？,10,1,1,1,0.19101622628778242
我對台灣的文化很有興趣，想知道有哪些課程可以讓我深入了解台灣的歷史和文化？,10,1,1,1,0.08629392624072259
這個微學程有關地方文化的課程，聽說有關故事創意與數位繪本的部分，看起來很有趣，是否可以跟導師討論一下有關數位媒體的應用？,10,1,1,1,0.10565936791833357
我想學習地方文化設計，想知道有哪些課程可以學習如何在社區中實踐文化設計？,10,1,1,1,0.5006662449926207
有沒有任何課程涉及故事創意與數位繪本的實作？,10,1,1,1,0.11385957566229968
我想參加地方創生與永續發展課程，但是有很多選擇，我該如何選擇適合自己的課程？,21,1,1,1,0.3300628558542523
我想學習如何整合地方創生和永續發展，有哪些相關的實踐案例可以參考嗎？,21,1,1,1,0.3203099552358661
我想了解如何結合地方創生與永續發展，能否推薦一些比較文化差異的課程？,21,0,0,1,0.11416071568638854
我對地方創生與永續發展有興趣，想知道哪些課程可以了解台日文化比較，以及如何透過建築工藝了解高雄的歷史？,21,1,1,1,0.2038813541632947
我對台日文化比較很感興趣，能夠參與哪些課程或專題研究，了解兩地文化差異與相似之處？,21,1,1,1,0.09223405576535937
對於地方創生與永續發展整合學程，想了解哪些課程與在地永續發展有直接關係？,21,1,1,1,0.5005467119709724
我想學習如何在地方創生中運用文化資源和永續發展的觀念，有哪些相關課程或實踐機會？,21,1,1,1,0.18618839355323186
我對地方創生和永續發展很感興趣，能否提供一些與台灣文化比較研究或在地食物永續發展相關的課程推薦？,21,1,1,1,0.4124698279923608
我對臺灣的文化與社會很有興趣，是否有任何推薦的課程或研究方向，讓我更深入地了解臺灣的社會背景與文化遺產？,34,1,1,1,0.15006167476844465
我對臺灣文化很感興趣，請問有哪些課程可以學習臺灣的社會、文化和歷史？,34,0,1,1,0.14935923992601766
我對臺灣的文化很感興趣，有哪些課程可以幫助我更深入地了解臺灣的社會、文化和歷史？,34,1,1,1,0.14224998607783634
我對臺灣的社會、文化和環境很感興趣，想知道有哪些課程可以讓我了解更多關於臺灣的海洋文化和生態問題？,34,0,0,0,0.02847317761444314
我對台灣的文化和社會很感興趣，想知道這個學程的課程有哪些相關的選項？,34,1,1,1,0.15006167476844465
我想深入了解臺灣社會與文化的多元面向，有哪些課程可以幫助我探索這方面的內容？,34,1,1,1,0.15483404894263658
我對台灣的文化和社會很感興趣，是否有相關的課程可以了解台灣社會和文化的變遷？,34,1,1,1,0.11319843807840015
有關台灣文化的課程很多，我想知道哪些課程可以幫助我深入了解台灣的社會文化？,34,1,1,1,0.10698836599600299
音樂劇實際上是什麼樣的演出形式？有哪些重要的表演技巧和技術需要學習？,13,1,1,1,0.4032533688214661
我對音樂劇很感興趣，想要知道如何提高自己的音樂劇演唱技巧和表演能力，有什麼課程可以幫助我提高這些方面的能力嗎？,13,1,1,1,0.6854765811002993
想加入音樂劇學程，但不知道從哪裡開始，能不能給我一些建議，哪些課程是最基礎的？,13,1,1,1,0.10117762493848076
我想加入音樂劇學程，但是不確定該選擇什麼樣的課程，能不能跟導師討論一下適合我的課程組合？,13,0,1,1,0.14391769241160407
我想參加音樂劇學程，但是不確定該如何選擇課程，有什麼建議可以幫助我更好地了解音樂劇表演的各個方面嗎？,13,1,1,1,0.9669202592279517
我想參加音樂劇學程，請問有任何課程介紹演唱技巧或合奏的內容嗎？,13,1,1,1,0.9627535925612849
音樂劇學程有很多課程，我想知道哪些課程對於演唱技巧的培養比較重要？,13,1,1,1,0.9855769230769231
我想知道音樂劇表演與製作的課程，該如何選擇合適的演唱技巧和肢體訓練課程？,13,1,1,1,0.29859362066871975
我對莎士比亞的戲劇很有興趣，有沒有相關的選讀課程可以學習？,21,1,1,1,0.2481184969637454
我想學習更多關於莎士比亞的作品，哪些課程有相關的內容？,21,1,1,1,0.20598138150818054
我對法國文化和莎士比亞戲劇很感興趣，哪些課程可以讓我深入了解這些題目？,21,1,1,1,0.5338022210066578
我想學習法國語言和文化，但不確定該從哪裡開始，請問有哪些課程適合初學者？,21,1,1,1,0.47657119956360317
我想學習法文和莎士比亞的戲劇作品，請問有哪些課程能夠幫助我了解當代法國的文化與社會？,21,1,1,1,0.5621683424860979
我對莎士比亞戲劇很有興趣，能夠找到相關的選讀課程嗎？,21,1,1,1,0.17337386363263524
我想學習法國語言和文化，但不確定哪些課程適合初學者，有沒有推薦適合入門的課程？,21,1,1,1,0.47657119956360317
我想學習莎士比亞的戲劇作品，但不知道從哪裡開始，有推薦的選讀課程或相關資源嗎？,21,1,1,1,0.39166489395521675
我對台灣的海洋文化很感興趣，有沒有相關的課程可以學習？,6,0,0,0,0.009487842113416767
我對台灣的飲食文化很感興趣，有沒有課程可以讓我了解海洋文化對台灣飲食的影響？,6,1,1,1,0.4643214643214643
我對台灣文化和地方創生很有興趣，能否透過課程了解如何將故事和數位繪本融入在地發展？,6,1,1,1,0.20806581773004504
我對台灣海洋文化很有興趣，該學程有什麼課程可以讓我深入了解海洋文化的發展與在地應用嗎？,6,0,0,1,0.018954413509484597
我對台灣的海洋文化很有興趣，有沒有相關的課程可以了解海島生活和文化？,6,0,0,0,0.007782481320511877
我對於台灣的海洋文化很感興趣，能不能透過課程了解更多海洋文化的歷史和現代發展？,6,0,0,0,0.006678022172807399
這個微學程看起來很有趣，我想了解更多關於在地故事創作和數位繪本的課程內容，有什麼推薦的活動或課程嗎？,6,1,1,1,0.17377756208498507
有關於台灣在地文化的課程，聽說有個關於海洋文化的課程，能不能告訴我一下是什麼樣子的？,6,1,1,1,0.17450577082938504
我想學習更多關於台灣文化的英語課程，有沒有相關的微學程可以選擇？,4,0,0,0,0.024148793225043798
想深入了解台灣的文化故事，有沒有相關的課程可以學習古代中國的文學？,4,0,0,0,0.03629553978623373
我對高雄的歷史和建築很有興趣，有沒有相關的課程可以深入探索？,4,1,1,1,0.2564322069996787
這個微學程似乎很有趣，能不能告訴我，該學程會教學生如何分析和溝通台灣的文化資產？,4,0,0,0,0.028657465936227
我對古代中國的文學很有興趣，古代中國的俠義、愛情和怪異書寫的課程有什麼內容？,4,0,0,0,0.014412092802200599
這個微學程的課程內容有趣，想知道是從哪些角度來分析古代中國文化的？,4,0,1,1,0.1087406015037594
我想了解學程裡面關於古代中國文化的部分，是否有相關的文學作品或故事會被教導給我們？,4,0,0,0,0.003882526416921689
我對古代中國的俠義文學很感興趣，是否有相關的課程可以學習？,4,0,0,1,0.025893322420572445
我想參加這個全英語通識教育菁英學程，但是有些課程名稱聽起來很複雜，有沒有簡單的說明或是選課建議？,12,1,1,1,0.17526415387987648
我想學習如何透過英語溝通去體驗不同文化，有哪些課程能夠讓我和朋友一起進行跨文化交流呢？,12,1,1,1,0.10517243084275472
我想學習外語並了解全球文化，有哪些課程能夠幫助我提高溝通能力和對不同文化的認識？,12,1,1,1,0.11814045659467803
我想參加全英語通識教育菁英學程，請問有哪些選課課程可以幫助我提高英語溝通能力和多元文化理解？,12,1,1,1,0.39438130648105857
我想了解全英語通識教育菁英學程的課程安排，能不能告訴我這個學程有哪些選擇？,12,1,1,1,0.6313174385139028
我想學習透過英語來理解不同文化的課程，有什麼選擇可以幫助我提高溝通能力？,12,1,1,1,0.09232977099628593
我想進一步了解課程內容，是否有機會安排實地參訪或交流活動，讓我們更深入了解全球文化？,12,0,0,1,0.03072484344901676
想學習透過實用性英語增進溝通能力，但不確定中級課程的難易程度，請教一下適合我的課程有哪些？,12,0,0,0,0.0
我想了解跨文化的人文觀念和表演藝術，有什麼課程能夠幫助我深入了解這個領域嗎？,5,1,1,1,0.297998385794996
聽說這個微學程有關於人際關係和表演的課程，想知道這些課程會讓我們學到什麼樣的技巧和觀念？,5,0,1,1,0.0537544384897005
我想深入了解跨文化交往的表演藝術，是否有相關的課程可以學習跨文化溝通技巧和表演藝術？,5,0,1,1,0.133671679197995
我對表演藝術很感興趣，想知道有哪些課程可以幫助我學習如何與不同文化的人溝通和互動？,5,0,1,1,0.048845791817095294
這個微學程的課程很有趣，有沒有跨文化交際或表演藝術的課程？,5,0,1,1,0.1110700342602183
我對於跨文化交往和表演藝術很有興趣，有什麼課程可以幫助我了解如何在不同文化背景下表達自己？,5,0,1,1,0.11334396597554493
這個微學程看起來很有趣，對於跨文化交流有什麼樣的課程或實驗？,5,1,1,1,0.286058086058086
我對生命教育和環境劇場很感興趣，能否提供更多關於跨文化人文思潮和表演藝術的課程資訊？,5,1,1,1,0.14149279953604418
想深入了解人權議題，哪些課程能夠讓我了解人權倡議的實踐和挑戰？,4,1,1,1,0.5421554252199413
人權研究整合學程似乎很廣泛，我想知道這個學程主要是學習什麼樣的議題或能力？,4,1,1,1,0.9166666666666666
人權研究整合學程很吸引我，能否告訴我在學程中有哪些課程關於人權倡議和社會變遷的內容？,4,1,1,1,0.6111914401388086
想深入了解人權議題，是否有相關課程探討如何透過倡議或推動社會變革？,4,1,1,1,0.573076923076923
我想了解更多關於普世人權的課程內容，會有什麼樣的學術討論或實踐活動嗎？,4,1,1,1,0.7717391304347826
我想學習如何透過不同途徑推動人權，人權倡議和運動課程有什麼內容？,4,1,1,1,0.5546439628482972
我對人權的研究很感興趣，想知道哪些課程比較關注現代社會中的挑戰或爭議？,4,1,1,1,0.6143892339544513
想了解人權的相關議題，哪些課程能夠提供更深入的觀念和挑戰？,4,1,1,1,0.5119142351900973
我對海洋生物和食品安全很感興趣，有沒有相關的課程可以學習海洋生物的多樣性和海洋產物的安全問題？,12,0,1,1,0.18527178299607297
對於海洋生物學的課程，有沒有提供實地探險或研究的機會讓我們親身體驗海洋生態和生物呢？,12,0,0,0,0.0493055432509984
我對海洋生物學很感興趣，請問有哪些課程可以讓我了解海洋生物的多樣性和生態系統？,12,0,0,0,0.060253743239974455
我想知道這個印象海味微學程的課程安排是如何的？有沒有可以提供學生實驗室實習的機會？,12,0,0,0,0.003266782195746285
有關海洋生物或食品安全的課程比較多，我想知道哪些課程有實驗或實踐的機會？,12,1,1,1,0.17029776312995915
我對海洋生物有興趣，想知道哪些課程能讓我了解海洋生物的多樣性？,12,0,0,1,0.09472675944016083
我對海洋生物很感興趣，想知道哪些課程可以讓我深入了解海洋的生物世界和生態系統？,12,0,0,0,0.060253743239974455
我對海洋生物很感興趣，能夠透過這個學程學到什麼有關海洋生態和生物的內容嗎？,12,0,0,1,0.10499567821755133
我想學習如何參與國防或了解國際事務，哪些課程比較適合我？,7,0,0,0,0.012549732237720556
全民國防微學程的課程很實用，想知道軍事訓練課程和國防政策的課程安排是怎麼樣的？,7,1,1,1,0.3962729146852538
我想參加全民國防課程，但不確定哪些課程適合我，有什麼推薦的課程可以幫我選擇嗎？,7,1,1,1,0.5858798905018541
有關國防相關的課程，我想知道哪些課程與實際應用相關，能夠幫助我應對真正的危機或緊急情況？,7,0,0,0,0.004558385842980905
想學習如何參與公民防衛，請問有哪些課程可以幫助我了解相關知識和技能？,7,0,0,0,0.013014737795630005
對於全民國防微學程的課程內容有哪些選擇？有沒有提供軍事訓練和急救技巧的課程？,7,0,0,0,0.026504661984119847
我想參加全民國防課程，軍訓部分有哪些選擇？,7,1,1,1,0.5868353614690488
我想學習如何參與公共事務或國防政策，有哪些課程可以幫助我了解這些知識？,7,0,1,1,0.06567731561597571
我對國際事務和全球化很有興趣，能不能介紹一下全球研究學分學程中有關公民參與和全球政治的課程？,7,1,1,1,0.9238095238095239
我對全球政治與國際事務很有興趣，有沒有提供與全球化相關的課程或研究方向？,7,1,1,1,0.7492347539439603
我想深入了解全球政治的變化，哪些課程可以幫助我了解全球政治與經濟的互動關係？,7,1,1,1,0.5595596133190118
我對全球政治和國際事務很有興趣，哪些課程可以讓我了解不同國家的政治動態和全球化趨勢？,7,0,0,0,0.0
想深入了解全球政治的發展，有哪些課程可以讓我更好地了解國際事務與全球化的變化？,7,1,1,1,0.8767507002801121
想深入了解全球政治與經濟關係，我該從哪些課程開始學習？,7,1,1,1,0.5615180235083147
我對全球政治很感興趣，想要了解如何參與國際事務，請問有哪些課程可以幫助我了解這方面？,7,1,1,1,0.8650793650793652
我對全球政治很感興趣，有沒有相關的課程能夠深入了解全球政治的變化和趨勢？,7,1,1,1,0.5412711596266414
有關創新創業的課程，我想知道有關如何結合社會創新和永續發展的課程嗎？,2,1,1,1,0.3611111111111111
我想學習如何結合創新創業與社會創新，能否透過這個課程了解社會創新與永續發展的關係？,2,1,1,1,0.26785714285714285
我對創新創業很感興趣，想知道有沒有課程可以幫助我了解如何在社會創新中運用創造力，並且探討全球化對永續發展的影響？,2,1,1,1,0.8333333333333333
這個微學程似乎很有趣，是否有任何與企業創業或創新產業相關的課程或活動？,2,0,1,1,0.06944444444444445
這個創新創業課程看起來很有趣，如何培養創造力和應對全球化挑戰的課程會安排在課程的哪個階段？,2,0,1,1,0.05892255892255892
我想學習如何融合創新創業和社會責任，有沒有相關課程能夠幫助我了解永續發展的觀點？,2,1,1,1,0.29166666666666663
我對創新創業很感興趣，想知道這個課程會怎麼教導我們創造新的想法和解決社會問題？,2,1,1,1,0.2616279069767442
有關創新創業的課程，我想了解如何結合創造力和社會創新，能夠幫助我在實踐中運用這些知識嗎？,2,1,1,1,0.2616279069767442
我想學習如何設計出能夠解決現實世界問題的創意方案，有哪些課程可以幫助我培養這些能力？,6,1,1,1,0.246059209673164
我對生態與創新有很強的興趣，想知道哪些課程可以幫助我培養創造力和設計思考能力？,6,1,1,1,0.12660944604629162
想學習如何讓創新和設計思考應用在社會問題解決上，有什麼課程可以幫助我？,6,1,1,1,0.11818057682620413
我對設計思考和創新很有興趣，請問這學程的課程安排有提到實踐案例或跨域合作嗎？,6,1,1,1,0.33902087221469795
我想學習如何將設計思維應用在實際問題上，能不能找出一些有趣的課程或案例？,6,1,1,1,0.36062003312116014
我對生態與創新很有興趣，該課程有關於如何結合自然環境與創造力來解決問題的課程嗎？,6,1,1,1,0.15467393717393718
我想知道如何結合設計思考和創意思維來解決社會問題，還有哪些課程可以幫助我了解這方面的知識？,6,1,1,1,0.27400344753285927
這個微學程看起來很有趣，我想知道有沒有任何與自然環境或創新思維相關的課程？,6,1,1,1,0.22217023172905526
我對原住民族議題很感興趣，該學程有哪些課程能夠深入探討當代原住民族的問題和挑戰？,6,1,1,1,0.3058690225073926
我對原民文化很感興趣，想知道有哪些課程可以學習到原住民族的議題和永續發展相關知識？,6,1,1,1,0.12532364171948143
我對原民文化與永續發展很感興趣，有沒有課程能夠讓我深入了解原住民族的當代議題和永續發展的教育方法？,6,1,1,1,0.38943936650859223
我對原民文化和永續發展很感興趣，想知道有哪些課程可以學到原住民族的議題和文化地景的管理？,6,1,1,1,0.6294932079414838
我對原民文化很有興趣，想知道這個學程會教導我們什麼樣的社會創新或永續發展實踐？,6,1,1,1,0.43438375350140057
我對原民文化議題很感興趣，想知道學程有哪些課程能夠深入探討原住民族的議題和永續發展的實踐？,6,0,0,0,0.012992768186899649
我對原民文化很有興趣，想知道學程中有關永續發展的課程有哪些？,6,1,1,1,0.32882607588489937
